Date, Qui, Quoi, Delta, Total Caisse, Total Coffre, Total Coffre plus Caisse (Cash), Total Banque, Total Urlab, Commentaire du Trésorier
07/03/24,Astramast/Arthur,Lays Chips Sel 45g x20,-13.8,27.61,947.2,974.81,10,984.81,
07/03/24,Astramast/Arthur,Lays Chips Paprika 45g  x20,-13.8,13.81,947.2,961.01,10,971.01,
07/03/24,Astramast/Arthur,Fanta Orange 33cl x15,-11.7,2.11,947.2,949.31,10,959.31,
07/03/24,Astramast/Arthur,Lays Chips Paprika x20,-15.18,-13.07,947.2,934.13,10,944.13,
07/03/24,Astramast/Arthur,Coca 33cl x15,-12.09,-25.16,947.2,922.04,10,932.04,
07/03/24,Astramast/Arthur,Gaufre liege x10,-1.63,-26.79,947.2,920.41,10,930.41,
07/03/24,Astramast/Arthur,Décompte de caisse,182.5,155.71,947.2,1102.91,10,1112.91,
07/03/24,Astramast/Arthur,Transfert caisse-coffre,0,55.71,1047.2,1102.91,10,1112.91,
