Date, Qui, Quoi, Delta, Total Caisse, Total Coffre, Total Coffre plus Caisse (Cash), Total Banque, Total Urlab, Commentaire du Trésorier
4,Astramast/Arthur,Lays Chips Sel 45g x20,-13.8,0.71,947.2,947.91,0,947.91,Ticket ID 15
4,Astramast/Arthur,Lays Chips Paprika 45g  x20,-13.8,-13.09,947.2,934.11,0,934.11,Ticket ID 15
4,Astramast/Arthur,Coca 33cl x15,-12.09,-25.18,947.2,922.02,0,922.02,Ticket ID 14
4,Astramast/Arthur,Gaufre liege x10,-1.63,-26.81,947.2,920.39,0,920.39,Ticket ID 14
7,Astramast/Arthur,Décompte,182.52,155.71,947.2,1102.91,0,1102.91,
7,Astramast/Arthur,Transfert caisse-coffre,0,55.71,1047.2,1102.91,0,1102.91,
