Date, Qui, Quoi, Delta, Total Caisse, Total Coffre, Total Coffre plus Caisse (Cash), Total Banque, Total Urlab, Commentaire du Trésorier
1,QuarkUp/frog,-,0,74.61,830,904.61,422.25,1326.86,init
2,QuarkUp/frog,Ardoise,6.6,81.21,830,911.21,422.25,1333.46,
2,QuarkUp/frog,Lay’s Natural chips 40g x20,-16.6,64.61,830,894.61,422.25,1316.86,Ticket ID 20
6,QuarkUp/frog,Jupiler 25cl x24,-15.79,48.82,830,878.82,422.25,1301.07,Ticket ID 21
6,QuarkUp/frog,Vidanges de Jupiler 25cl x24,-4.5,44.32,830,874.32,422.25,1296.57,Ticket ID 21
6,QuarkUp/frog,Recette SmartMonday,20.8,65.12,830,895.12,422.25,1317.37,
23,QuarkUp/frog,Donation,10,75.12,830,905.12,422.25,1327.37,
23,QuarkUp/frog,Donation,0.04,75.16,830,905.16,422.25,1327.41,
