Date, Qui, Quoi, Delta, Total Caisse, Total Coffre, Total Coffre plus Caisse (Cash), Total Banque, Total Urlab, Commentaire du Trésorier
24,QuarkUp/frog,-,0,75.16,830,905.16,422.25,1327.41,init
24,QuarkUp/frog,ardoise quarkup,0.3,75.46,830,905.46,422.25,1327.71,
